"","species_name","temp_mean_warmest_q"
"1","Alectoria ochroleuca",9.29164070612669
"2","Arctagrostis latifolia",8.83468109339408
"3","Astralagus umbelletus",9.41967213114754
"4","Cardamine bellidifolia",8.26379360891234
"5","Cardamine digitalis",8.68461538461538
"6","Cassiope tetragona",7.87576385292595
"7","Cetraria cucculata",9.47323232323232
"8","Cetraria islandica",10.1502801120448
"9","Cetraria nivalis",9.35942028985507
"10","Cladina mitis",11.6309523809524
"11","Dactylina arctica",8.80853146853147
"12","Dryas integrifolia",8.32113879003559
"13","Eriophorum angustifolium",12.6208388948211
"14","Eriophorum vaginatum",13.5694294213088
"15","Festuca baffinensis",5.56122778675283
"16","Hierochloe alpine",9.40854625550661
"17","Kobresia myotosoides",8.57658456486043
"18","Kobresia sibirica",9.41588785046729
"19","Lagostis glauca",9.12627599243856
"20","Lupinus arcticus",11.5546313799622
"21","Luzula arctica",5.95339207048458
"22","Papaver radicatum",5.90830833833233
"23","Pedicularis capitata",8.29346092503987
"24","Pedicularis lanata",8.12637362637363
"25","Pedicularis longsdorfi",8.17683706070287
"26","Pedicularis sudetica",9.05388389206868
"27","Pedicularis vertisilata",10.4320802005013
"28","Poa alpina",10.3471045078508
"29","Poa arctica",7.34595155709343
"30","Polygonum bistorta",14.6833333333333
"31","Polygonum viviparum",9.8780701754386
"32","Pyrola grandiflora",10.0211776859504
"33","Salix arctica",7.67618678550668
"34","Salix phlebophylla",9.34532520325203
"35","Salix pulchra",11.3275533108866
"36","Salix reticulata",10.4252772808587
"37","Saussurea angustifolia",10.8116154873164
"38","Saxifraga nelsoniana",10.1757847533632
"39","Senecio astropurpureus",9.38308823529412
"40","Stellaria longipes",8.28180790960452
"41","Thamnolia subuliformis",8.02285714285714
"42","Valeriana capitata",10.2971900826446
