"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"53","year:SpeciesHierochloe alpine",-0.0208935626777996,-0.416651607032691,0.350257456086183,3000.00000000001,0.916,"fixed"
"54","year:SpeciesLagostis glauca",0.0125967758669252,-0.365215465892106,0.412287762199412,3508.65849195699,0.972,"fixed"
"55","year:SpeciesLupinus arcticus",0.203665760203846,-0.197774217027472,0.59691905110958,3000,0.296,"fixed"
"56","year:SpeciesLuzula arctica",0.0252584989758659,-0.382077567825036,0.381863077142043,3000,0.898666666666667,"fixed"
"57","year:SpeciesOxytropis campestris",-0.0030072823024774,-0.365421272115782,0.403138639852841,3000.00000000001,0.998,"fixed"
"58","year:SpeciesOxytropis maydalliana",-0.0176323469622122,-0.400502148804662,0.369549745490076,2999.99999999999,0.949333333333333,"fixed"
"59","year:SpeciesOxytropis nigrescens",-0.0403900942692608,-0.414963982111658,0.337906419095816,3000,0.845333333333333,"fixed"
"60","year:SpeciesPapaver radicatum",-0.0302230843791848,-0.428730400642962,0.33885701658437,3000,0.872,"fixed"
"61","year:SpeciesParrya nudicalis",-0.0244037861090875,-0.428805033894605,0.344021702912869,3168.46425378925,0.906,"fixed"
"62","year:SpeciesPedicularis capitata",-0.0215856242999523,-0.4060572921735,0.349537950387457,3205.3367683446,0.936,"fixed"
"63","year:SpeciesPedicularis lanata",-0.0935241028381613,-0.464200383798016,0.28813438522775,3000,0.625333333333333,"fixed"
"64","year:SpeciesPedicularis sudetica",-0.029993903869167,-0.398202143638628,0.366140083049686,3000,0.879333333333333,"fixed"
"65","year:SpeciesPedicularis vertisilata",0.00533960603257183,-0.390727312013041,0.369099623610964,2999.99999999999,0.967333333333333,"fixed"
"66","year:SpeciesPoa arctica",-0.0946106658244322,-0.471869500936009,0.277309355835314,3000.00000000001,0.628666666666667,"fixed"
"67","year:SpeciesPolygonum bistorta",0.00743131428236525,-0.392735329136485,0.408470266218046,2999.99999999999,0.978,"fixed"
"68","year:SpeciesPolygonum viviparum",-0.017150697636629,-0.391681324916135,0.377335179713555,3000,0.936,"fixed"
"69","year:SpeciesPyrola grandiflora",-0.0125034988574548,-0.407043117578723,0.358069574664114,2999.99999999999,0.930666666666667,"fixed"
"70","year:SpeciesSalix arctica",0.387208473080712,0.00519898172933608,0.767259677901166,2999.99999999999,0.044,"fixed"
"71","year:SpeciesSalix pulchra",-0.0251094145213378,-0.403063037498214,0.345882811088813,3258.20353881705,0.898,"fixed"
"72","year:SpeciesSalix reticulata",-0.0236530025283079,-0.388368501444347,0.376787257817341,3000,0.909333333333333,"fixed"
"73","year:SpeciesSaussurea angustifolia",-0.032255015934174,-0.412420668988489,0.372319418733241,2999.99999999999,0.872,"fixed"
"74","year:SpeciesSenecio astropurpureus",-0.031533801073644,-0.421063367000897,0.352252694530762,3418.22106875624,0.874,"fixed"
"75","year:SpeciesStellaria longipes",-0.0908453725855599,-0.473450931596744,0.297455928899581,3000,0.640666666666667,"fixed"
"76","year:SpeciesThamnolia subuliformis",-0.143922171954014,-0.507884922233643,0.24189798545558,3000,0.442666666666667,"fixed"
"77","year",0.276741537669005,0.0572600955416384,0.618265111017391,3000.00000000001,NA,"random"
"78","PLOT",0.399857280105604,0.0651933900497903,1.02981767256074,3207.40992774933,NA,"random"
"79","units",44.330611420381,41.8177319329671,47.0190419491903,3000.00000000001,NA,"residual"
