Half-degree cell series of temperature
Centre Latitude:             69.75
Centre Longitude:          -139.25
CRU TS Version:               4.05
Units:                     degrees C

  Yr  Mo     Value   N.Obs
2011   1    -26.60     8
2011   2    -26.40     8
2011   3    -24.90     8
2011   4    -17.00     8
2011   5     -2.10     8
2011   6      6.40     8
2011   7     10.60     8
2011   8      8.10     8
2011   9      3.30     8
2011  10     -6.10     8
2011  11    -23.40     8
2011  12    -22.00     8
2012   1    -34.40     8
2012   2    -22.30     8
2012   3    -28.80     8
2012   4    -13.50     8
2012   5     -3.50     8
2012   6      7.60     8
2012   7     11.00     8
2012   8      9.20     8
2012   9      3.00     8
2012  10     -9.70     8
2012  11    -23.20     8
2012  12    -28.40     8
2013   1    -25.80     8
2013   2    -27.60     8
2013   3    -24.80     8
2013   4    -20.60     8
2013   5     -5.00     8
2013   6      8.70     8
2013   7     11.10     8
2013   8      8.50     8
2013   9      1.10     8
2013  10     -5.60     8
2013  11    -20.30     8
2013  12    -25.20     8
2014   1    -21.30     8
2014   2    -28.10     8
2014   3    -23.70     8
2014   4    -15.60     8
2014   5     -2.40     8
2014   6      5.60     8
2014   7      9.60     8
2014   8      8.00     8
2014   9      1.60     8
2014  10     -9.10     8
2014  11    -17.80     8
2014  12    -20.50     8
2015   1    -26.30     8
2015   2    -25.60     8
2015   3    -23.60     8
2015   4    -14.30     8
2015   5     -0.50     8
2015   6      7.20     8
2015   7     10.40     8
2015   8      7.00     8
2015   9      0.60     8
2015  10     -5.90     8
2015  11    -17.50     8
2015  12    -23.00     8
2016   1    -19.10     8
2016   2    -22.70     8
2016   3    -21.20     8
2016   4    -10.30     8
2016   5     -0.40     8
2016   6      7.40     8
2016   7     11.50     8
2016   8      9.50     8
2016   9      2.40     8
2016  10     -7.30     8
2016  11    -18.70     8
2016  12    -24.20     8
2017   1    -26.20     8
2017   2    -25.10     8
2017   3    -27.20     8
2017   4    -12.60     8
2017   5     -2.00     8
2017   6      7.40     8
2017   7     12.60     8
2017   8      9.00     8
2017   9      3.40     8
2017  10     -6.20     8
2017  11    -19.00     8
2017  12    -16.50     8
2018   1    -24.50     8
2018   2    -25.70     8
2018   3    -20.80     8
2018   4    -15.30     8
2018   5     -3.30     8
2018   6      6.10     8
2018   7     11.80     8
2018   8      6.80     8
2018   9      2.10     8
2018  10     -5.10     8
2018  11    -16.30     8
2018  12    -21.30     8
2019   1    -25.40     8
2019   2    -24.60     8
2019   3    -18.70     8
2019   4    -13.00     8
2019   5     -0.70     8
2019   6      8.10     8
2019   7     12.00     8
2019   8      7.90     8
2019   9      3.90     8
2019  10     -6.90     8
2019  11    -16.30     8
2019  12    -21.50     8
2020   1    -32.00     8
2020   2    -30.60     8
2020   3    -24.40     8
2020   4    -14.60     8
2020   5     -1.70     8
2020   6      6.50     8
2020   7     10.70     8
2020   8      9.00     8
2020   9      2.70     8
2020  10     -8.10     8
2020  11    -18.70     8
2020  12    -21.30     8
